Feature,Exited,Count,Mean,Median,Std,Min,Max
CreditScore,0,7963,651.8531960316463,653.0,95.65383704715606,405.0,850.0
CreditScore,1,2037,645.3514972999509,646.0,100.32150264961562,350.0,850.0
Age,0,7963,37.40838879819164,36.0,10.125362911047539,18.0,92.0
Age,1,2037,44.8379970544919,45.0,9.76156155550719,18.0,84.0
Tenure,0,7963,5.033278914981791,5.0,2.8806577432683715,0.0,10.0
Tenure,1,2037,4.932744231713304,5.0,2.9361062684311996,0.0,10.0
Balance,0,7963,72745.2967788522,92072.68,62848.04070061993,0.0,221532.8
Balance,1,2037,91108.53933726068,109349.29,58360.794815855304,0.0,250898.09
EstimatedSalary,0,7963,99738.39177194524,99645.04,57405.58696606452,90.07,199992.48
EstimatedSalary,1,2037,101465.67753068237,102460.84,57912.418070799045,11.58,199808.1
